id,book,page,figure,figure_title,dcode,description,part_no,qty,model,remarks,fits,fits_why
EC-027-03,EC,27,1040A-1,OIL PAN & REAR HOUSING,,<C>,8981-10-200B,1,,REQUIRES WASHER: 9995-21-200,yes,
EC-027-04,EC,27,1040A-1,OIL PAN & REAR HOUSING,10 203A,"PIN, DOWEL",0839-10-203,2,,,yes,
EC-027-05,EC,27,1040A-1,OIL PAN & REAR HOUSING,10 2041,"DOWEL, TUBULAR",1757-10-309,2,,,yes,
EC-027-06,EC,27,1040A-1,OIL PAN & REAR HOUSING,10 205A,"PLUG, BLIND",8562-10-205,4,,,yes,
EC-027-07,EC,27,1040A-1,OIL PAN & REAR HOUSING,10 2061,"PLUG, BLIND",1757-10-206A,1,,,yes,
EC-027-08,EC,27,1040A-1,OIL PAN & REAR HOUSING,10 2071,"PLUG, BLIND",1757-10-207A,1,,,yes,
EC-027-09,EC,27,1040A-1,OIL PAN & REAR HOUSING,10 2081,STUD,1757-10-208,4,,,yes,
EC-027-10,EC,27,1040A-1,OIL PAN & REAR HOUSING,10 3001,"HOUSING, REAR",N201-10-300A,1,'81 & '82 MODELS,,yes,
EC-027-11,EC,27,1040A-1,OIL PAN & REAR HOUSING,,,N231-10-300A,1,'83 MODEL,,no,'83 model
EC-027-12,EC,27,1040A-1,OIL PAN & REAR HOUSING,10 3051,"COVER, DUST",1480-10-305,1,M/T,,no,M/T
EC-027-13,EC,27,1040A-1,OIL PAN & REAR HOUSING,,,1481-10-305,1,A/T,,yes,A/T
EC-027-14,EC,27,1040A-1,OIL PAN & REAR HOUSING,10 3091,"PIN, TUBULAR",1757-10-309,2,'81 & '82 MODELS,,yes,
EC-027-15,EC,27,1040A-1,OIL PAN & REAR HOUSING,,,,4,'83 MODEL,,no,'83 model qty
EC-027-16,EC,27,1040A-1,OIL PAN & REAR HOUSING,10 3201,"CONNECTOR, HOSE",0866-10-320A,1,'81 MODEL,,no,'81 model
EC-027-17,EC,27,1040A-1,OIL PAN & REAR HOUSING,10 351,"COVER, DUST",1758-10-351,1,'81 & '82 MODELS M/T,,no,M/T
EC-027-18,EC,27,1040A-1,OIL PAN & REAR HOUSING,,,N231-10-351A,1,'83 MODEL M/T,,no,'83 model M/T
EC-027-19,EC,27,1040A-1,OIL PAN & REAR HOUSING,10 400,"PAN, OIL",N201-10-700A,1,CAL.,,unclear,CAL. vs FED. not known
EC-027-20,EC,27,1040A-1,OIL PAN & REAR HOUSING,,,N203-10-700,1,FED.,,unclear,CAL. vs FED. not known
EC-027-21,EC,27,1040A-1,OIL PAN & REAR HOUSING,10 404,"PLUG, DRAIN",9951-11-400,1,,,yes,
EC-027-22,EC,27,1040A-1,OIL PAN & REAR HOUSING,,<AN>,HE03-10-404,1,,,yes,alternative number
EC-027-23,EC,27,1040A-1,OIL PAN & REAR HOUSING,10 405,"GASKET, DRAIN PLUG",9956-41-400,1,,,yes,
EC-027-24,EC,27,1040A-1,OIL PAN & REAR HOUSING,10 431,"GASKET, OIL PAN",0839-10-711,1,,,yes,
EC-027-25,EC,27,1040A-1,OIL PAN & REAR HOUSING,10 4511,"BOLT, TENSION",1015-10-451B,16,,,yes,
EC-027-26,EC,27,1040A-1,OIL PAN & REAR HOUSING,10 4521,"BOLT, TENSION",1015-10-452A,1,,,yes,
EC-027-27,EC,27,1040A-1,OIL PAN & REAR HOUSING,10 4551,"WASHER, SEAL",0839-10-455,17,,,yes,
EC-027-28,EC,27,1040A-1,OIL PAN & REAR HOUSING,10 503,"PIN, TOP INDICATOR",8871-10-631A,1,,,yes,
EC-027-29,EC,27,1040A-1,OIL PAN & REAR HOUSING,10 507,"SEAL, OIL",0820-10-605,1,,,yes,
EC-027-30,EC,27,1040A-1,OIL PAN & REAR HOUSING,10 6001,"COVER, FRONT",1480-10-600A,1,,,yes,
EC-027-31,EC,27,1040A-1,OIL PAN & REAR HOUSING,10 600J,"JOINT, UNION",9938-41-200F,1,,,yes,
EC-027-32,EC,27,1040A-1,OIL PAN & REAR HOUSING,10 6091,"PIN, SPRING",1757-10-609,1,,,yes,
EC-027-33,EC,27,1040A-1,OIL PAN & REAR HOUSING,10 641,"GASKET, FRONT COVER",8527-10-641,1,,,yes,
EC-027-34,EC,27,1040A-1,OIL PAN & REAR HOUSING,10 7351,PROTECTOR,N231-10-735,1,'83 MODEL,,no,'83 model
EC-027-35,EC,27,1040A-1,OIL PAN & REAR HOUSING,10 8451,BOLT,855?-10-845,1,,,yes,
EC-027-36,EC,27,1040A-1,OIL PAN & REAR HOUSING,10 8611,"HANGER, ENGINE",N225-10-861,1,,,yes,
EC-027-37,EC,27,1040A-1,OIL PAN & REAR HOUSING,10 8621,"HANGER, ENGINE",8871-10-862,1,,,yes,
EC-027-38,EC,27,1040A-1,OIL PAN & REAR HOUSING,14 2731,SPRING,0839-14-273A,1,'81 & '82 MODELS,,yes,
EC-028-01,EC,28,1040A-2,OIL PAN & REAR HOUSING,14 2731 (CONT'D),,N231-14-273,1,'83 MODEL,,no,'83 model
EC-028-02,EC,28,1040A-2,OIL PAN & REAR HOUSING,14 2741,PLUG,0839-14-274,1,,,yes,
EC-028-03,EC,28,1040A-2,OIL PAN & REAR HOUSING,14 2751,"PLUNGER, CONTROL",0839-14-115,1,,,yes,
EC-028-04,EC,28,1040A-2,OIL PAN & REAR HOUSING,23 0451,"SEALANT, SILICONE",8527-77-739,1,TUBE,,yes,
EC-029-01,EC,29,1100A-1,ECCENTRIC SHAFT & FLYWHEEL,11 371,"PULLEY, CRANKSHAFT",8649-11-600,1,,,yes,
EC-029-02,EC,29,1100A-1,ECCENTRIC SHAFT & FLYWHEEL,11 376,"BOLT, PULLEY",0820-11-611B,1,,,yes,
EC-029-03,EC,29,1100A-1,ECCENTRIC SHAFT & FLYWHEEL,11 4001,"SHAFT, ECCENTRIC",N201-11-400,1,M/T,,no,M/T
EC-029-04,EC,29,1100A-1,ECCENTRIC SHAFT & FLYWHEEL,,,1883-11-400A,1,A/T,,yes,A/T
EC-029-05,EC,29,1100A-1,ECCENTRIC SHAFT & FLYWHEEL,11 400J,O-RING,9954-10-1101,2,THRU DEC. '81 PROD.,FB331 ..500001-629394,unclear,"serial break 629394, VIN serial unknown"
EC-029-06,EC,29,1100A-1,ECCENTRIC SHAFT & FLYWHEEL,11 4031,"BEARING, NEEDLE",N326-11-D03,1,M/T,,no,M/T
EC-029-07,EC,29,1100A-1,ECCENTRIC SHAFT & FLYWHEEL,11 4041,"SEAL, OIL",1881-11-404,1,M/T,,no,M/T
EC-029-08,EC,29,1100A-1,ECCENTRIC SHAFT & FLYWHEEL,11 4051,"PLUG, BLIND",0813-11-405,1,'82 MODEL,FB331 ..629394-,unclear,"serial break 629394, VIN serial unknown"
EC-029-09,EC,29,1100A-1,ECCENTRIC SHAFT & FLYWHEEL,11 4111,"PLUG, OIL JET",0839-11-411A,2,,,yes,
EC-029-10,EC,29,1100A-1,ECCENTRIC SHAFT & FLYWHEEL,11 411J,"BALL, STEEL",9961-12-000,2,,,yes,
EC-029-11,EC,29,1100A-1,ECCENTRIC SHAFT & FLYWHEEL,11 4121,SPRING,0839-11-412,2,,,yes,
EC-029-12,EC,29,1100A-1,ECCENTRIC SHAFT & FLYWHEEL,11 500,FLYWHEEL,N201-11-700,1,'81 - '82,,yes,
EC-029-13,EC,29,1100A-1,ECCENTRIC SHAFT & FLYWHEEL,,,N231-11-700A,1,'83,,no,'83
EC-029-14,EC,29,1100A-1,ECCENTRIC SHAFT & FLYWHEEL,11 5011,PLATE,1011-11-501,1,,,yes,
EC-029-15,EC,29,1100A-1,ECCENTRIC SHAFT & FLYWHEEL,11 502,"GEAR, RING",0866-11-702,1,M/T,,no,M/T
EC-029-16,EC,29,1100A-1,ECCENTRIC SHAFT & FLYWHEEL,11 5021,SPACER,0839-11-509,1,(L=8.00),,yes,selective fit
EC-029-17,EC,29,1100A-1,ECCENTRIC SHAFT & FLYWHEEL,,,0839-11-502,1,(L=8.02),,yes,selective fit
EC-029-18,EC,29,1100A-1,ECCENTRIC SHAFT & FLYWHEEL,,,0839-11-508,1,(L=8.04),,yes,selective fit
EC-029-19,EC,29,1100A-1,ECCENTRIC SHAFT & FLYWHEEL,,,8519-11-517,1,(L=8.06),,yes,selective fit
EC-029-20,EC,29,1100A-1,ECCENTRIC SHAFT & FLYWHEEL,,,0839-11-506,1,(L=8.08),,yes,selective fit
EC-029-21,EC,29,1100A-1,ECCENTRIC SHAFT & FLYWHEEL,11 5041,"PLATE, THRUST",1011-11-504,1,,,yes,
EC-029-22,EC,29,1100A-1,ECCENTRIC SHAFT & FLYWHEEL,11 5051,"BEARING, NEEDLE",0813-11-505B,2,,,yes,
EC-029-23,EC,29,1100A-1,ECCENTRIC SHAFT & FLYWHEEL,11 5071,"WASHER, THRUST",1011-11-507,1,,,yes,
EC-029-24,EC,29,1100A-1,ECCENTRIC SHAFT & FLYWHEEL,11 5111,"WEIGHT, BALANCE",N201-11-511,1,M/T '81 MODEL A/T,FB331 .. 500001-500075,no,M/T or '81 A/T serials 500001-500075
EC-029-25,EC,29,1100A-1,ECCENTRIC SHAFT & FLYWHEEL,,,1881-11-511,1,A/T,FB331 ..500076-,yes,A/T from 500076
EC-029-26,EC,29,1100A-1,ECCENTRIC SHAFT & FLYWHEEL,,,N226-11-511A,1,'83 MODEL,,no,'83 model
EC-029-27,EC,29,1100A-1,ECCENTRIC SHAFT & FLYWHEEL,11 5121,KEY,9923-60-571,1,,,yes,
EC-029-28,EC,29,1100A-1,ECCENTRIC SHAFT & FLYWHEEL,11 5311,"GEAR, DRIVE",0839-11-531,1,,,yes,
EC-029-29,EC,29,1100A-1,ECCENTRIC SHAFT & FLYWHEEL,11 5511,"GEAR, DRIVE-OIL PUMP",0839-11-551A,1,,,yes,
EC-029-30,EC,29,1100A-1,ECCENTRIC SHAFT & FLYWHEEL,11 7051,"KEY, FLYWHEEL",0820-11-705,1,,,yes,
EC-029-31,EC,29,1100A-1,ECCENTRIC SHAFT & FLYWHEEL,11 7111,"NUT, LOCK",0810-11-711,1,,,yes,
EC-029-32,EC,29,1100A-1,ECCENTRIC SHAFT & FLYWHEEL,11 7501,"WEIGHT, CONTROL",1883-11-751A,1,'81 & '82 MODELS A/T,,yes,
EC-029-33,EC,29,1100A-1,ECCENTRIC SHAFT & FLYWHEEL,,,N226-11-751A,1,'83 MODEL A/T,,no,'83 model
EC-030-01,EC,30,1110A-1,ROTOR & RELATED,11 1111,"BEARING, ROTOR",1011-11-111,2,,,yes,
EC-030-02,EC,30,1110A-1,ROTOR & RELATED,11 3011,"SEAL, APEX",N201-11-300A,6,,,yes,
EC-030-03,EC,30,1110A-1,ROTOR & RELATED,11 3021,"PIECE, SIDE",N201-11-302A,6,,,yes,
EC-030-04,EC,30,1110A-1,ROTOR & RELATED,11 3041,"SPRING, APEX SEAL",1011-11-304B,6,,,yes,
EC-030-05,EC,30,1110A-1,ROTOR & RELATED,11 3171,"SPRING, SIDE SEAL",0820-11-317,12,,,yes,
EC-030-06,EC,30,1110A-1,ROTOR & RELATED,11 3211,"SEAL, CORNER",1202-11-321,12,'81 & '82 MODELS,,yes,
EC-030-07,EC,30,1110A-1,ROTOR & RELATED,,,N225-11-321,12,'83 MODEL,,no,'83 model
EC-030-08,EC,30,1110A-1,ROTOR & RELATED,11 3221,"PLUG, CORNER SEAL",N201-11-322,12,,,yes,
EC-030-09,EC,30,1110A-1,ROTOR & RELATED,11 3231,"SPRING, CORNER SEAL",1202-11-323A,12,,,yes,
EC-030-10,EC,30,1110A-1,ROTOR & RELATED,11 3411,"O-RING, INNER",0820-11-341,4,,,yes,
EC-030-11,EC,30,1110A-1,ROTOR & RELATED,11 3431,"O-RING, OUTER",1202-11-343,4,,,yes,
EC-030-12,EC,30,1110A-1,ROTOR & RELATED,11 3511,"SPRING, FRONT-INNER",1011-11-351,2,'81 & '82 MODELS,,yes,
EC-030-13,EC,30,1110A-1,ROTOR & RELATED,,,N225-11-351,2,'83 MODEL,,no,'83 model
EC-030-14,EC,30,1110A-1,ROTOR & RELATED,11 3531,"SPRING, FRONT-OUTER",1011-11-353A,2,,,yes,
EC-030-15,EC,30,1110A-1,ROTOR & RELATED,11 3611,"SPRING, REAR-INNER",1011-11-361,2,'81 & '82 MODELS,,yes,
EC-030-16,EC,30,1110A-1,ROTOR & RELATED,,,N225-11-361,2,'83 MODEL,,no,'83 model
EC-030-17,EC,30,1110A-1,ROTOR & RELATED,11 3631,"SPRING, REAR-OUTER",1011-11-363A,2,,,yes,
EC-030-18,EC,30,1110A-1,ROTOR & RELATED,23 1021,"ROTOR, FRONT",1480-23-103,1,'81 & '82 MODELS,,yes,
EC-030-19,EC,30,1110A-1,ROTOR & RELATED,,,N225-23-103,1,'83 MODEL,,no,'83 model
EC-030-20,EC,30,1110A-1,ROTOR & RELATED,23 1121,"ROTOR, REAR",1480-23-113,1,'81 & '82 MODELS,,yes,
EC-030-21,EC,30,1110A-1,ROTOR & RELATED,,,N225-23-113,1,'83 MODEL,,no,'83 model
EC-030-22,EC,30,1110A-1,ROTOR & RELATED,23 151A,"SEAL, SIDE",1011-23-151A,12,,,yes,
EC-030-23,EC,30,1110A-1,ROTOR & RELATED,23 1801,"SEAL SET, OIL",8871-23-180,4,,,yes,
EC-031-01,EC,31,1300A-1,INTAKE MANIFOLD,13 100,"MANIFOLD, INTAKE",N201-13 100A,1,,,yes,
EC-031-02,EC,31,1300A-1,INTAKE MANIFOLD,13 100J,O-RING,8527-13-113,2,,,yes,
EC-031-03,EC,31,1300A-1,INTAKE MANIFOLD,13 111,"GASKET, INTAKE MANIFOLD",1881-13-111A,1,,,yes,
EC-031-04,EC,31,1300A-1,INTAKE MANIFOLD,13 1201,"SHAFT, VALVE",1480-13-120A,1,,,yes,
EC-031-05,EC,31,1300A-1,INTAKE MANIFOLD,13 1211,VALVE,N201-13-121,1,,,yes,
EC-031-06,EC,31,1300A-1,INTAKE MANIFOLD,13 1291,"PLATE, THRUST",1480-13-129,1,'81 MODEL,FB331 ..500001-507334,no,'81 model
EC-032-01,EC,32,1310A-1,EXHAUST MANIFOLD,13 3711,"INSULATOR, HEAT",1480-13-370,1,,,yes,
EC-032-02,EC,32,1310A-1,EXHAUST MANIFOLD,13 3801,"PLATE, ABSORBER",1480-13-380A,1,,,yes,
EC-032-03,EC,32,1310A-1,EXHAUST MANIFOLD,13 390,"DUCT, HOT AIR",1480-13-330,1,,,yes,
EC-032-04,EC,32,1310A-1,EXHAUST MANIFOLD,13 3901,"BRACKET, ABSORBER",3565-13-390,1,,,yes,
EC-032-05,EC,32,1310A-1,EXHAUST MANIFOLD,13 450,"MANIFOLD, EXHAUST",1480-13-600B,1,,,yes,
EC-032-06,EC,32,1310A-1,EXHAUST MANIFOLD,13 456,STUD,2329-13-876,2,,,yes,
EC-032-07,EC,32,1310A-1,EXHAUST MANIFOLD,,<AN>,1757-13-857,2,,,yes,alternative number
EC-032-08,EC,32,1310A-1,EXHAUST MANIFOLD,13 461,NUT,8134-40-355,4,,,yes,
EC-032-09,EC,32,1310A-1,EXHAUST MANIFOLD,13 462,"GASKET, EXHAUST MANIFOLD",1480-13-889A,1,,,yes,
EC-032-10,EC,32,1310A-1,EXHAUST MANIFOLD,13 8821,"WASHER, SPRING",9997-11-000,4,,,yes,
EC-032-11,EC,32,1310A-1,EXHAUST MANIFOLD,20 920,"GASKET, EXHAUST PIPE",1480-13-621,1,,,yes,
EC-033-01,EC,33,1320A-1,FUEL SYSTEM,13 201,"BOLT, AIR CLEANER",8871-13-201A,1,,,yes,
EC-033-02,EC,33,1320A-1,FUEL SYSTEM,13 205B,"CAP, IDLE SWITCH",1481-13-205C,1,,,yes,
EC-033-03,EC,33,1320A-1,FUEL SYSTEM,13 270,"VALVE, CHECK",3648-13-270A,1,,,yes,
EC-033-04,EC,33,1320A-1,FUEL SYSTEM,13 270J,"HOSE, FUEL",9935-80-6999,,BULK QTY.,,yes,
EC-033-05,EC,33,1320A-1,FUEL SYSTEM,13 315,INSULATOR,1480-13-220B,1,,,yes,
EC-033-06,EC,33,1320A-1,FUEL SYSTEM,13 350,"PUMP, FUEL",8871-13-400B,1,'81 & '82 MODELS,,yes,
EC-033-07,EC,33,1320A-1,FUEL SYSTEM,,,N249-13-400B,1,'83 MODEL,,no,'83 model
EC-033-08,EC,33,1320A-1,FUEL SYSTEM,13 363,"RUBBER, INSULATION",8871-13-407,2,,,yes,
EC-033-09,EC,33,1320A-1,FUEL SYSTEM,13 421,"HOSE, FUEL MAIN",9935-80-8999,,BULK QTY.,,yes,
EC-033-10,EC,33,1320A-1,FUEL SYSTEM,13 422,"HOSE, FUEL RETURN",9935-80-69??,,BULK QTY.,,yes,
EC-033-11,EC,33,1320A-1,FUEL SYSTEM,13 445,CLIP,1480-13-445,1,'81 MODEL,FB331 ..500001-507334,no,'81 model
EC-033-12,EC,33,1320A-1,FUEL SYSTEM,13 447,CLIP,N201-13-445,1,,,yes,
EC-033-13,EC,33,1320A-1,FUEL SYSTEM,13 470,"FILTER, FUEL",0222-13-470B,1,'81 MODEL,FB331 ..500001-610655,no,'81 model
EC-033-14,EC,33,1320A-1,FUEL SYSTEM,,,E508-13-470,1,'82 & '83 MODELS,FB331 ..610656-,yes,'82 & '83 models
EC-033-15,EC,33,1320A-1,FUEL SYSTEM,,,,,,"REFER TO SERV. BULL. NO. 033/81, CAT. 4 FOR MORE INFO.",yes,note row
EC-033-16,EC,33,1320A-1,FUEL SYSTEM,13 481,"CLAMP, FUEL FILTER",0381-13-481,1,'81 MODEL,FB331 ..500001-610655,no,'81 model
EC-033-17,EC,33,1320A-1,FUEL SYSTEM,,,E508-13-481,1,'82 & '83 MODELS,FB331 ..610656,yes,'82 & '83 models
EC-033-18,EC,33,1320A-1,FUEL SYSTEM,13 650C,"HOSE, AIR",9935-10-8999,,BULK QTY.,,yes,
EC-033-19,EC,33,1320A-1,FUEL SYSTEM,13 7851,"HOSE, VENTILATION",8871-13-785C,1,,,yes,
EC-033-20,EC,33,1320A-1,FUEL SYSTEM,13 960,"BRACKET, CANISTER",N201-20-611,1,,,yes,
EC-033-21,EC,33,1320A-1,FUEL SYSTEM,13 970,CANISTER,N201-20-610A,1,'81 & '82 MODELS,,yes,
EC-033-22,EC,33,1320A-1,FUEL SYSTEM,,,N221-99-041,1,'83 MODEL,,no,'83 model
EC-033-23,EC,33,1320A-1,FUEL SYSTEM,,,,,,REFER TO RECALL CAMPAIGN NO. 21605 FOR MORE INFO.,unclear,note row; recall may apply
EC-033-24,EC,33,1320A-1,FUEL SYSTEM,13 971,"HOSE, VENTILATION",9935-10-8999,,BULK QTY.,,yes,
EC-033-25,EC,33,1320A-1,FUEL SYSTEM,13 972,"HOSE, EVAPORATION",9935-10-4999,,BULK QTY.,,yes,
EC-033-26,EC,33,1320A-1,FUEL SYSTEM,13 973,"HOSE, DRAIN",N201-20-613,1,'81 MODEL,FB331 ..500001-509606,no,'81 model
EC-033-27,EC,33,1320A-1,FUEL SYSTEM,13 973A,"HOSE, EVAPORATION",9935-10-8999,,BULK QTY.,,yes,
EC-033-28,EC,33,1320A-1,FUEL SYSTEM,51 402A,CLIP,3972-51-402,2,'81 MODEL,FB331 ..500001-507334,no,'81 model
EC-034-01,EC,34,1330A-1,AIR CLEANER,13 320,"CLEANER, AIR",N201-13-300,1,,,yes,
EC-034-02,EC,34,1330A-1,AIR CLEANER,13 344,"HOSE, HOT AIR",8871-13-341A,1,,,yes,
EC-034-03,EC,34,1330A-1,AIR CLEANER,23 603,"ELEMENT, AIR CLEANER",8341-23-672,1,,,yes,
EC-034-04,EC,34,1330A-1,AIR CLEANER,23 615,"PIPE, AIR INTAKE",1757-13-351A,1,,,yes,
EC-034-05,EC,34,1330A-1,AIR CLEANER,23 6731,COVER,8245-23-673,1,,,yes,
EC-034-06,EC,34,1330A-1,AIR CLEANER,23 6801,GASKET SET,1757-23-680,1,,,yes,
EC-034-07,EC,34,1330A-1,AIR CLEANER,23 6931,COMPENSATOR,3648-23-693A,1,,,yes,
EC-035-01,EC,35,1350A-1,STARTING ASSIST SYSTEM,13 081,BRACKET,8871-13-085B,1,'81 & '82 MODELS,,yes,
EC-035-02,EC,35,1350A-1,STARTING ASSIST SYSTEM,,,N229-13-081,1,'83 MODEL,,no,'83 model
EC-035-03,EC,35,1350A-1,STARTING ASSIST SYSTEM,13 083,MOTOR,8341-13-085,1,'81 & '82 MODELS,,yes,
EC-035-04,EC,35,1350A-1,STARTING ASSIST SYSTEM,,,N229-13-085,1,'83 MODEL,,no,'83 model
EC-035-05,EC,35,1350A-1,STARTING ASSIST SYSTEM,13 086,WIRE,8871-13-086B,1,'81 & '82 MODELS,,yes,
EC-035-06,EC,35,1350A-1,STARTING ASSIST SYSTEM,,,N225-13-086A,1,'83 MODEL,,no,'83 model
EC-035-07,EC,35,1350A-1,STARTING ASSIST SYSTEM,13 087,SPRING,8871-13-087A,2,,,yes,
EC-035-08,EC,35,1350A-1,STARTING ASSIST SYSTEM,13 5101,"TANK, STARTING FLUID",1881-13-510G,1,,,yes,
EC-035-09,EC,35,1350A-1,STARTING ASSIST SYSTEM,13 5151,"BRACKET, TANK",1757-13-515A,1,FED.,,unclear,FED. - Calif/Fed emission spec not known
EC-035-10,EC,35,1350A-1,STARTING ASSIST SYSTEM,13 5271,HOSE,8871-13-527,1,FED.,,unclear,FED. - Calif/Fed emission spec not known
EC-035-11,EC,35,1350A-1,STARTING ASSIST SYSTEM,13 5311,THERMO UNIT,8712-13-531,1,FED.,,unclear,FED. - Calif/Fed emission spec not known
EC-036-01,EC,36,1359A-1,"CARBURETOR, REPAIR KIT, GASKET SET & SCREW SET",13 600,CARBURETOR,N201-13-200A,1,'81 & '82 MODELS M/T CAL.,,no,M/T
EC-036-02,EC,36,1359A-1,"CARBURETOR, REPAIR KIT, GASKET SET & SCREW SET",,,N233-13-200A,1,'83 MODEL M/T CAL.,,no,'83 M/T
EC-036-03,EC,36,1359A-1,"CARBURETOR, REPAIR KIT, GASKET SET & SCREW SET",,,N202-13-200A,1,'81 & '82 MODELS A/T CAL.,,unclear,'81 & '82 A/T; CAL vs FED not known
EC-036-04,EC,36,1359A-1,"CARBURETOR, REPAIR KIT, GASKET SET & SCREW SET",,,N234-13-200A,1,'83 MODEL A/T CAL.,,no,'83 model
EC-036-05,EC,36,1359A-1,"CARBURETOR, REPAIR KIT, GASKET SET & SCREW SET",,,N203-13-200A,1,'81 & '82 MODELS M/T FED.,,no,M/T
EC-036-06,EC,36,1359A-1,"CARBURETOR, REPAIR KIT, GASKET SET & SCREW SET",,,N231-13-200A,1,'83 MODEL M/T FED.,,no,'83 M/T
EC-036-07,EC,36,1359A-1,"CARBURETOR, REPAIR KIT, GASKET SET & SCREW SET",,,N204-13-200A,1,'81 & '82 MODELS A/T FED.,,unclear,'81 & '82 A/T; CAL vs FED not known
EC-036-08,EC,36,1359A-1,"CARBURETOR, REPAIR KIT, GASKET SET & SCREW SET",,,N232-13-200A,1,'83 MODEL A/T FED.,,no,'83 model
EC-036-09,EC,36,1359A-1,"CARBURETOR, REPAIR KIT, GASKET SET & SCREW SET",23 371,SCREW SET,N201-23-652,1,,,yes,
EC-036-10,EC,36,1359A-1,"CARBURETOR, REPAIR KIT, GASKET SET & SCREW SET",,,N201-99-131,1,,,yes,
EC-036-11,EC,36,1359A-1,"CARBURETOR, REPAIR KIT, GASKET SET & SCREW SET",23 410A,"REPAIR KIT, CARBURETOR",N201-99-131,1,,,yes,
EC-036-12,EC,36,1359A-1,"CARBURETOR, REPAIR KIT, GASKET SET & SCREW SET",23 436,"CAP, IDLE LIMITER",N201-13-205,1,,,yes,
EC-036-13,EC,36,1359A-1,"CARBURETOR, REPAIR KIT, GASKET SET & SCREW SET",23 510,GASKET SET,N201-23-510,1,,,yes,
EC-036-14,EC,36,1359A-1,"CARBURETOR, REPAIR KIT, GASKET SET & SCREW SET",,"CHAMBER SET, DIAPHRAGM",N249-23-350,1,,,yes,
